State,District,Season,Crop,Year,Area,Production,Yield
Telangana,Adilabad,Kharif,Arhar/Tur,2018,23984.0,31923.0,1.33
Telangana,Adilabad,Kharif,Arhar/Tur,2019,23803.0,29585.0,1.24
Telangana,Adilabad,Kharif,Arhar/Tur,2020,25002.0,22671.0,0.91
Telangana,Adilabad,Kharif,Arhar/Tur,2021,24482.0,24286.0,0.99
Telangana,Adilabad,Kharif,Arhar/Tur,2022,30725.0,30633.0,1.0
Telangana,Adilabad,Rabi,Arhar/Tur,2020,40.0,36.0,0.9
Telangana,Adilabad,Rabi,Arhar/Tur,2021,156.0,116.0,0.74
Telangana,Adilabad,Rabi,Arhar/Tur,2022,105.0,186.0,1.77
Telangana,Bhadradri,Kharif,Arhar/Tur,2018,799.0,1008.0,1.26
Telangana,Bhadradri,Kharif,Arhar/Tur,2019,554.0,286.0,0.52
Telangana,Bhadradri,Kharif,Arhar/Tur,2020,2486.0,1782.0,0.72
Telangana,Bhadradri,Kharif,Arhar/Tur,2021,4661.0,4978.0,1.07
Telangana,Bhadradri,Kharif,Arhar/Tur,2022,2852.0,2564.0,0.9
Telangana,Bhadradri,Rabi,Arhar/Tur,2018,11.0,14.0,1.27
Telangana,Bhadradri,Rabi,Arhar/Tur,2019,11.0,6.0,0.55
Telangana,Bhadradri,Rabi,Arhar/Tur,2021,65.0,48.0,0.74
Telangana,Bhadradri,Rabi,Arhar/Tur,2022,8.0,9.0,1.13
Telangana,Jagitial,Kharif,Arhar/Tur,2018,2067.0,3408.0,1.65
Telangana,Jagitial,Kharif,Arhar/Tur,2019,1637.0,1129.0,0.69
Telangana,Jagitial,Kharif,Arhar/Tur,2020,5154.0,5069.0,0.98
Telangana,Jagitial,Kharif,Arhar/Tur,2021,4335.0,4300.0,0.99
Telangana,Jagitial,Kharif,Arhar/Tur,2022,1636.0,1083.0,0.66
Telangana,Jagitial,Rabi,Arhar/Tur,2020,1.0,2.0,2.0
Telangana,Jagitial,Rabi,Arhar/Tur,2021,16.0,12.0,0.75
Telangana,Jagitial,Rabi,Arhar/Tur,2022,3.0,4.0,1.33
Telangana,Jangoan,Kharif,Arhar/Tur,2018,4210.0,3284.0,0.78
Telangana,Jangoan,Kharif,Arhar/Tur,2019,5624.0,5197.0,0.92
Telangana,Jangoan,Kharif,Arhar/Tur,2020,11236.0,6053.0,0.54
Telangana,Jangoan,Kharif,Arhar/Tur,2021,8039.0,3296.0,0.41
Telangana,Jangoan,Kharif,Arhar/Tur,2022,2711.0,1252.0,0.46
Telangana,Jangoan,Rabi,Arhar/Tur,2018,4.0,3.0,0.75
Telangana,Jangoan,Rabi,Arhar/Tur,2019,9.0,8.0,0.89
Telangana,Jangoan,Rabi,Arhar/Tur,2020,62.0,33.0,0.53
Telangana,Jangoan,Rabi,Arhar/Tur,2021,162.0,148.0,0.91
Telangana,Jangoan,Rabi,Arhar/Tur,2022,11.0,8.0,0.73
Telangana,Jayashankar,Kharif,Arhar/Tur,2018,10.0,6.0,0.6
Telangana,Jayashankar,Kharif,Arhar/Tur,2019,29.0,26.0,0.9
Telangana,Jayashankar,Kharif,Arhar/Tur,2020,156.0,120.0,0.77
Telangana,Jayashankar,Kharif,Arhar/Tur,2021,107.0,82.0,0.77
Telangana,Jayashankar,Kharif,Arhar/Tur,2022,9.0,8.0,0.89
Telangana,Jayashankar,Rabi,Arhar/Tur,2018,3.0,2.0,0.67
Telangana,Jayashankar,Rabi,Arhar/Tur,2019,2.0,2.0,1.0
Telangana,Jayashankar,Rabi,Arhar/Tur,2020,8.0,6.0,0.75
Telangana,Jayashankar,Rabi,Arhar/Tur,2021,8.0,6.0,0.75
Telangana,Jayashankar,Rabi,Arhar/Tur,2022,1.0,1.0,1.0
Telangana,Jogulamba,Kharif,Arhar/Tur,2018,16336.0,4835.0,0.3
Telangana,Jogulamba,Kharif,Arhar/Tur,2019,16164.0,10465.0,0.65
Telangana,Jogulamba,Kharif,Arhar/Tur,2020,15153.0,9437.0,0.62
Telangana,Jogulamba,Kharif,Arhar/Tur,2021,11211.0,5741.0,0.51
Telangana,Jogulamba,Kharif,Arhar/Tur,2022,6014.0,5268.0,0.88
Telangana,Jogulamba,Rabi,Arhar/Tur,2018,106.0,31.0,0.29
Telangana,Jogulamba,Rabi,Arhar/Tur,2019,111.0,72.0,0.65
Telangana,Jogulamba,Rabi,Arhar/Tur,2020,497.0,308.0,0.62
Telangana,Jogulamba,Rabi,Arhar/Tur,2021,547.0,372.0,0.68
Telangana,Jogulamba,Rabi,Arhar/Tur,2022,115.0,137.0,1.19
Telangana,Kamareddy,Kharif,Arhar/Tur,2018,8167.0,11140.0,1.36
